topic,title,section,text,raw_document,cleaned_document
travel,Applying for a Visa to Travel to the United States,,"After being accepted to an SEVP-certified school and getting a receipt for payment of the I-901 fee, you can apply for a visa at a U.S. embassy or consulate. Learn how to apply for your visa. Review the student visas page on travel.state.gov, as well as the instructions at the website of the embassy or consulate where you will apply for a visa. After you receive your visa, check to see that you received the right type of visa and that your name and date of birth are correct and match the information in your passport.","Applying for a Visa to Travel to the United States
After being accepted to an SEVP-certified school and getting a receipt for payment of the I-901 fee, you can apply for a visa at a U.S. embassy or consulate. Learn how to apply for your visa. Review the student visas page on travel.state.gov, as well as the instructions at the website of the embassy or consulate where you will apply for a visa. After you receive your visa, check to see that you received the right type of visa and that your name and date of birth are correct and match the information in your passport.",applying visa travel united states accepted sevp-certified school getting receipt payment i-901 fee apply visa u s embassy consulate learn apply visa review student visas page travel state gov well instructions website embassy consulate apply visa receive visa check see received right type visa name date birth correct match information passport
get-started,Bringing Dependents to the United States,,"Make sure that your designated school official (DSO) knows that you would like to bring your dependents with you. When you inform the DSO that your dependents will be accompanying you to the United States, the DSO will then issue a Form I-20 for each of your dependents. Many schools also have a separate form you need to fill out in order to obtain a Form I-20, ""Certificate of Eligibility for Nonimmigrant Status,"" for your dependents. Before you apply for an F-2 or M-2 visa for your spouse or child, you should understand the visa limitations on your dependents. F-2 and M-2 dependents: Are in legal immigration status as long as you maintain status, throughout your program of study and any authorized period of optional practical training after completion. May depart and re-enter the United States with proper documentation. May not work. Are not eligible for Social Security numbers. F-2 and M-2 dependents can engage in study at an SEVP-certified school in the United States as long as they are enrolled in less than a full course of study. Read more about this in the Adjustments to Designated School Official Limits Frequently Asked Questions . Should obtain an updated Form I-20 from the DSO if any information about you changes. May file for a change of status (via Form I-539, ""Application to Extend/Change Nonimmigrant Status"") to F-1 or M-1 status if the adult dependent wants to study full-time.","Bringing Dependents to the United States
Make sure that your designated school official (DSO) knows that you would like to bring your dependents with you. When you inform the DSO that your dependents will be accompanying you to the United States, the DSO will then issue a Form I-20 for each of your dependents. Many schools also have a separate form you need to fill out in order to obtain a Form I-20, ""Certificate of Eligibility for Nonimmigrant Status,"" for your dependents. Before you apply for an F-2 or M-2 visa for your spouse or child, you should understand the visa limitations on your dependents. F-2 and M-2 dependents: Are in legal immigration status as long as you maintain status, throughout your program of study and any authorized period of optional practical training after completion. May depart and re-enter the United States with proper documentation. May not work. Are not eligible for Social Security numbers. F-2 and M-2 dependents can engage in study at an SEVP-certified school in the United States as long as they are enrolled in less than a full course of study. Read more about this in the Adjustments to Designated School Official Limits Frequently Asked Questions . Should obtain an updated Form I-20 from the DSO if any information about you changes. May file for a change of status (via Form I-539, ""Application to Extend/Change Nonimmigrant Status"") to F-1 or M-1 status if the adult dependent wants to study full-time.",bringing dependents united states make sure designated school official dso knows would like bring dependents inform dso dependents accompanying united states dso issue form i-20 dependents many schools also separate form need fill order obtain form i-20 certificate eligibility nonimmigrant status dependents apply f-2 m-2 visa spouse child understand visa limitations dependents f-2 m-2 dependents legal immigration status long maintain status throughout program study authorized period optional practical training completion may depart re-enter united states proper documentation may work eligible social security numbers f-2 m-2 dependents engage study sevp-certified school united states long enrolled less full course study read adjustments designated school official limits frequently asked questions obtain updated form i-20 dso information changes may file change status via form i-539 application extend change nonimmigrant status f-1 m-1 status adult dependent wants study full-time
get-started,Bringing Dependents to the United States,Pre-College Student Enrollment,"Students as young as six years old can be issued F-1 visas to attend a Student and Exchange Visitor Program-certified school in the United States, but there are strict limitations. For more information on Kindergarten to Grade 12 students, please see our Kindergarten to Grade 12 Students resource page.","Bringing Dependents to the United States
Pre-College Student Enrollment
Students as young as six years old can be issued F-1 visas to attend a Student and Exchange Visitor Program-certified school in the United States, but there are strict limitations. For more information on Kindergarten to Grade 12 students, please see our Kindergarten to Grade 12 Students resource page.",bringing dependents united states pre-college student enrollment students young six years old issued f-1 visas attend student exchange visitor program-certified school united states strict limitations information kindergarten grade 12 students please see kindergarten grade 12 students resource page
complete,Change of Status,,"If you want to change your status while in the United States, you (or in some cases your employer) must file a request with the U.S. Citizenship and Immigration Services (USCIS) on the appropriate form before your authorized stay expires. In general, you may apply to change your nonimmigrant status if you were lawfully admitted to the United States in an eligible nonimmigrant status, your nonimmigrant status remains valid, you have not violated the conditions of your status and you have not committed any crimes that would make you ineligible. Until you receive approval from USCIS, do not assume the status has been approved and do not change your activity in the United States. USCIS recommends that you apply as soon as you determine that you need to change to a different nonimmigrant classification. If USCIS denies your application, be prepared to leave the United States when your current status expires.","Change of Status
If you want to change your status while in the United States, you (or in some cases your employer) must file a request with the U.S. Citizenship and Immigration Services (USCIS) on the appropriate form before your authorized stay expires. In general, you may apply to change your nonimmigrant status if you were lawfully admitted to the United States in an eligible nonimmigrant status, your nonimmigrant status remains valid, you have not violated the conditions of your status and you have not committed any crimes that would make you ineligible. Until you receive approval from USCIS, do not assume the status has been approved and do not change your activity in the United States. USCIS recommends that you apply as soon as you determine that you need to change to a different nonimmigrant classification. If USCIS denies your application, be prepared to leave the United States when your current status expires.",change status want change status united states cases employer must file request u s citizenship immigration services uscis appropriate form authorized stay expires general may apply change nonimmigrant status lawfully admitted united states eligible nonimmigrant status nonimmigrant status remains valid violated conditions status committed crimes would make ineligible receive approval uscis assume status approved change activity united states uscis recommends apply soon determine need change different nonimmigrant classification uscis denies application prepared leave united states current status expires
complete,Change of Status,Changing to a Nonimmigrant Student Status,"You may wish to change your nonimmigrant status if you are already in the United States on a valid nonimmigrant visa for a purpose other than attending school and want to study at a U.S. Student and Exchange Visitor Program (SEVP)-certified school. You are not eligible for a change of status in the United States if you entered as a visitor through the visa waiver program. If you meet the criteria above and want to change your status while you remain in the United States, you must submit an application with USCIS to change your nonimmigrant status by following these steps: Apply to and receive acceptance from an SEVP-certified school. Obtain an initial Form I-20, ""Certificate of Eligibility for Nonimmigrant Student Status,"" from the SEVP-certified school. The designated school official (DSO) should give change of status in the Issue Reason section of the Form I-20. Pay the I-901 SEVIS Fee. File a Form I-539, ""Application to Extend/Change Nonimmigrant Status,"" with USCIS. Not all nonimmigrant classifications are eligible to change to student status. Read the instructions carefully to ensure that your nonimmigrant classification is eligible for a change of status.","Change of Status
Changing to a Nonimmigrant Student Status
You may wish to change your nonimmigrant status if you are already in the United States on a valid nonimmigrant visa for a purpose other than attending school and want to study at a U.S. Student and Exchange Visitor Program (SEVP)-certified school. You are not eligible for a change of status in the United States if you entered as a visitor through the visa waiver program. If you meet the criteria above and want to change your status while you remain in the United States, you must submit an application with USCIS to change your nonimmigrant status by following these steps: Apply to and receive acceptance from an SEVP-certified school. Obtain an initial Form I-20, ""Certificate of Eligibility for Nonimmigrant Student Status,"" from the SEVP-certified school. The designated school official (DSO) should give change of status in the Issue Reason section of the Form I-20. Pay the I-901 SEVIS Fee. File a Form I-539, ""Application to Extend/Change Nonimmigrant Status,"" with USCIS. Not all nonimmigrant classifications are eligible to change to student status. Read the instructions carefully to ensure that your nonimmigrant classification is eligible for a change of status.",change status changing nonimmigrant student status may wish change nonimmigrant status already united states valid nonimmigrant visa purpose attending school want study u s student exchange visitor program sevp -certified school eligible change status united states entered visitor visa waiver program meet criteria want change status remain united states must submit application uscis change nonimmigrant status following steps apply receive acceptance sevp-certified school obtain initial form i-20 certificate eligibility nonimmigrant student status sevp-certified school designated school official dso give change status issue reason section form i-20 pay i-901 sevis fee file form i-539 application extend change nonimmigrant status uscis nonimmigrant classifications eligible change student status read instructions carefully ensure nonimmigrant classification eligible change status
complete,Change of Status,Special Instructions for Changing to a Nonimmigrant Student Status from B-1/B-2 status,"If you are changing status from B-1/B-2 to F or M student, refrain from enrolling in or beginning your studies until USCIS has approved your change of status. Enrolling in a course of study while in B-1/B-2 status, or any status that does not permit you to enroll in a program of study, will result in a status violation. If USCIS has not adjudicated your change of status at least 15 days before the program start date on your Form I-20, contact the DSO at your new school. You may need to wait to attend (have deferred attendance).","Change of Status
Special Instructions for Changing to a Nonimmigrant Student Status from B-1/B-2 status
If you are changing status from B-1/B-2 to F or M student, refrain from enrolling in or beginning your studies until USCIS has approved your change of status. Enrolling in a course of study while in B-1/B-2 status, or any status that does not permit you to enroll in a program of study, will result in a status violation. If USCIS has not adjudicated your change of status at least 15 days before the program start date on your Form I-20, contact the DSO at your new school. You may need to wait to attend (have deferred attendance).",change status special instructions changing nonimmigrant student status b-1 b-2 status changing status b-1 b-2 f student refrain enrolling beginning studies uscis approved change status enrolling course study b-1 b-2 status status permit enroll program study result status violation uscis adjudicated change status least 15 days program start date form i-20 contact dso new school may need wait attend deferred attendance
complete,Change of Status,Instructions for Applicants for Change of Status to F-1 Nonimmigrant Student,"If your nonimmigrant status is unexpired at the time of filing the application to change status to F-1 nonimmigrant, and you otherwise remain eligible for a change of status, you are not required to obtain status all the way up to the date that is 30 days before your program start date (“bridge the gap”). Even if USCIS processing times cause a delay in your program start date and your DSO must defer your start date until the next academic term or semester, you are not required to file any additional applications to maintain your status. If approved, your change of status to F-1 will be effective as of the date of adjudication. You must wait until the change of status to F-1 application is approved and you are within 30 days of the new program start date to engage in F status-specific activities, such as on-campus employment and practical training.","Change of Status
Instructions for Applicants for Change of Status to F-1 Nonimmigrant Student
If your nonimmigrant status is unexpired at the time of filing the application to change status to F-1 nonimmigrant, and you otherwise remain eligible for a change of status, you are not required to obtain status all the way up to the date that is 30 days before your program start date (“bridge the gap”). Even if USCIS processing times cause a delay in your program start date and your DSO must defer your start date until the next academic term or semester, you are not required to file any additional applications to maintain your status. If approved, your change of status to F-1 will be effective as of the date of adjudication. You must wait until the change of status to F-1 application is approved and you are within 30 days of the new program start date to engage in F status-specific activities, such as on-campus employment and practical training.",change status instructions applicants change status f-1 nonimmigrant student nonimmigrant status unexpired time filing application change status f-1 nonimmigrant otherwise remain eligible change status required obtain status way date 30 days program start date bridge gap even uscis processing times cause delay program start date dso must defer start date next academic term semester required file additional applications maintain status approved change status f-1 effective date adjudication must wait change status f-1 application approved within 30 days new program start date engage f status-specific activities on-campus employment practical training
complete,Change of Status,Instructions for Applicants for a Change of Status to M-1 Nonimmigrant Student,"If your current nonimmigrant status will expire more than 30 days before your M-1 program start date and you wish to remain in the United States until your start date, you must find a way to obtain status all the way up to the date that is 30 days before your program start date (“bridge the gap”). USCIS may only approve your Form I-539 change of status request if you obtain status up to 30 days before your program’s initial start date. This means you may need to file an additional Form I-539, with a separate fee, to request an extension of your current nonimmigrant status or change of status if: Your current status will expire more than 30 days before the initial M-1 program start date. If you do not file an application to extend or change to another status before your current status expires, USCIS will deny your Form I-539 request to change to M-1 status. Please continue to check the USCIS processing times while your Form I-539 change of status request is pending to determine if you need to file a request to extend or change your nonimmigrant status. Your M-1 program start date is deferred to the following academic term or semester because USCIS did not make a decision on your Form I-539 change of status application before your originally intended M-1 program start date, and your nonimmigrant status expires more than 30 days before that program start date. You will need to obtain status all the way up to the date which is 30 days before your new program start date . If you had already filed a Form I-539 to bridge the original gap, you may need to file another Form I-539 to bridge the new gap. Because extending or changing nonimmigrant status to bridge the gap, and changing to M-1 status are two distinct benefits, you must pay a separate filing fee for each request, per the User Fee Statute, found at 31 U.S.C. 9701. For more information about this process, please visit USCIS Changing to a Nonimmigrant F or M Student Status .","Change of Status
Instructions for Applicants for a Change of Status to M-1 Nonimmigrant Student
If your current nonimmigrant status will expire more than 30 days before your M-1 program start date and you wish to remain in the United States until your start date, you must find a way to obtain status all the way up to the date that is 30 days before your program start date (“bridge the gap”). USCIS may only approve your Form I-539 change of status request if you obtain status up to 30 days before your program’s initial start date. This means you may need to file an additional Form I-539, with a separate fee, to request an extension of your current nonimmigrant status or change of status if: Your current status will expire more than 30 days before the initial M-1 program start date. If you do not file an application to extend or change to another status before your current status expires, USCIS will deny your Form I-539 request to change to M-1 status. Please continue to check the USCIS processing times while your Form I-539 change of status request is pending to determine if you need to file a request to extend or change your nonimmigrant status. Your M-1 program start date is deferred to the following academic term or semester because USCIS did not make a decision on your Form I-539 change of status application before your originally intended M-1 program start date, and your nonimmigrant status expires more than 30 days before that program start date. You will need to obtain status all the way up to the date which is 30 days before your new program start date . If you had already filed a Form I-539 to bridge the original gap, you may need to file another Form I-539 to bridge the new gap. Because extending or changing nonimmigrant status to bridge the gap, and changing to M-1 status are two distinct benefits, you must pay a separate filing fee for each request, per the User Fee Statute, found at 31 U.S.C. 9701. For more information about this process, please visit USCIS Changing to a Nonimmigrant F or M Student Status .",change status instructions applicants change status m-1 nonimmigrant student current nonimmigrant status expire 30 days m-1 program start date wish remain united states start date must find way obtain status way date 30 days program start date bridge gap uscis may approve form i-539 change status request obtain status 30 days program s initial start date means may need file additional form i-539 separate fee request extension current nonimmigrant status change status current status expire 30 days initial m-1 program start date file application extend change another status current status expires uscis deny form i-539 request change m-1 status please continue check uscis processing times form i-539 change status request pending determine need file request extend change nonimmigrant status m-1 program start date deferred following academic term semester uscis make decision form i-539 change status application originally intended m-1 program start date nonimmigrant status expires 30 days program start date need obtain status way date 30 days new program start date already filed form i-539 bridge original gap may need file another form i-539 bridge new gap extending changing nonimmigrant status bridge gap changing m-1 status two distinct benefits must pay separate filing fee request per user fee statute found 31 u s c 9701 information process please visit uscis changing nonimmigrant f student status
complete,Change of Status,Changing to H-1B Status,"If you are an F-1 student interested in changing to H-1B status , your prospective employer must sponsor you and file that petition. See pages on H-1B Status and cap gap for details.","Change of Status
Changing to H-1B Status
If you are an F-1 student interested in changing to H-1B status , your prospective employer must sponsor you and file that petition. See pages on H-1B Status and cap gap for details.",change status changing h-1b status f-1 student interested changing h-1b status prospective employer must sponsor file petition see pages h-1b status cap gap details
complete,Change of Status,Special Note for M-1 Students,"Special Note for M-1 Students If you are an M-1 student, you may not change to F status while you are in the United States. If you would like to attend school as an F-1 student, you will need to leave the United States, apply to an SEVP-certified school and receive a new Form I-20. You will also need to apply for a new visa at a U.S. Embassy or Consulate , if applicable. In addition, if you are an M-1 student, you may not change to H status (temporary worker) if the education or training you received as a vocational student in the United States provided the qualifications for the temporary worker position you seek.","Change of Status
Special Note for M-1 Students
Special Note for M-1 Students If you are an M-1 student, you may not change to F status while you are in the United States. If you would like to attend school as an F-1 student, you will need to leave the United States, apply to an SEVP-certified school and receive a new Form I-20. You will also need to apply for a new visa at a U.S. Embassy or Consulate , if applicable. In addition, if you are an M-1 student, you may not change to H status (temporary worker) if the education or training you received as a vocational student in the United States provided the qualifications for the temporary worker position you seek.",change status special note m-1 students special note m-1 students m-1 student may change f status united states would like attend school f-1 student need leave united states apply sevp-certified school receive new form i-20 also need apply new visa u s embassy consulate applicable addition m-1 student may change h status temporary worker education training received vocational student united states provided qualifications temporary worker position seek
